age;race;marital-status;education;occupation;salary-class
52;White;Married-civ-spouse;HS-grad;Exec-managerial;>50K
31;White;Never-married;Masters;Prof-specialty;>50K
42;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
37;Black;Married-civ-spouse;Some-college;Exec-managerial;>50K
30;Asian-Pac-Islander;Married-civ-spouse;Bachelors;Prof-specialty;>50K
43;White;Divorced;Masters;Exec-managerial;>50K
40;White;Married-civ-spouse;Doctorate;Prof-specialty;>50K
56;White;Married-civ-spouse;Bachelors;Tech-support;>50K
57;Black;Married-civ-spouse;Bachelors;Prof-specialty;>50K
47;White;Married-civ-spouse;Prof-school;Prof-specialty;>50K
50;White;Divorced;Bachelors;Exec-managerial;>50K
43;White;Married-civ-spouse;Some-college;Tech-support;>50K
42;White;Married-civ-spouse;Doctorate;Prof-specialty;>50K
53;White;Married-civ-spouse;HS-grad;Adm-clerical;>50K
49;White;Married-civ-spouse;Some-college;Exec-managerial;>50K
29;White;Married-civ-spouse;Bachelors;Sales;>50K
44;White;Divorced;HS-grad;Craft-repair;>50K
49;White;Married-civ-spouse;HS-grad;Protective-serv;>50K
43;White;Never-married;Doctorate;Prof-specialty;>50K
34;White;Married-civ-spouse;Bachelors;Protective-serv;>50K
48;White;Married-civ-spouse;Doctorate;Prof-specialty;>50K
37;White;Married-civ-spouse;Some-college;Sales;>50K
76;White;Married-civ-spouse;Masters;Exec-managerial;>50K
44;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
32;White;Married-civ-spouse;HS-grad;Craft-repair;>50K
38;White;Married-civ-spouse;Prof-school;Prof-specialty;>50K
56;White;Married-civ-spouse;HS-grad;Other-service;>50K
49;Black;Married-civ-spouse;Assoc-voc;Craft-repair;>50K
29;White;Married-civ-spouse;Bachelors;Prof-specialty;>50K
47;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
31;White;Married-civ-spouse;Assoc-acdm;Adm-clerical;>50K
38;White;Married-civ-spouse;Masters;Prof-specialty;>50K
49;Asian-Pac-Islander;Married-civ-spouse;Some-college;Craft-repair;>50K
45;White;Never-married;Assoc-voc;Prof-specialty;>50K
45;White;Married-civ-spouse;Masters;Sales;>50K
51;White;Married-civ-spouse;Some-college;Sales;>50K
28;White;Married-civ-spouse;Bachelors;Prof-specialty;>50K
44;Black;Married-civ-spouse;Some-college;Exec-managerial;>50K
40;White;Married-civ-spouse;7th-8th;Machine-op-inspct;>50K
37;White;Married-civ-spouse;Some-college;Adm-clerical;>50K
58;White;Married-civ-spouse;Doctorate;Prof-specialty;>50K
40;White;Never-married;Masters;Exec-managerial;>50K
35;White;Married-civ-spouse;Masters;Prof-specialty;>50K
51;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
36;Black;Married-civ-spouse;Bachelors;Other-service;>50K
58;White;Married-civ-spouse;HS-grad;Sales;>50K
37;White;Married-civ-spouse;HS-grad;Craft-repair;>50K
54;White;Married-civ-spouse;7th-8th;Machine-op-inspct;>50K
37;Black;Never-married;Bachelors;Exec-managerial;>50K
28;White;Never-married;Prof-school;Prof-specialty;>50K
41;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
38;White;Married-civ-spouse;Masters;Exec-managerial;>50K
40;White;Married-civ-spouse;Bachelors;Prof-specialty;>50K
58;White;Married-civ-spouse;HS-grad;Adm-clerical;>50K
40;White;Married-civ-spouse;Assoc-acdm;Tech-support;>50K
41;White;Married-civ-spouse;Prof-school;Prof-specialty;>50K
42;Asian-Pac-Islander;Married-civ-spouse;HS-grad;Farming-fishing;>50K
37;Asian-Pac-Islander;Married-civ-spouse;Some-college;Exec-managerial;>50K
64;White;Married-civ-spouse;HS-grad;Exec-managerial;>50K
33;White;Married-civ-spouse;HS-grad;Craft-repair;>50K
61;White;Married-civ-spouse;HS-grad;Exec-managerial;>50K
44;White;Married-civ-spouse;Some-college;Craft-repair;>50K
24;White;Married-civ-spouse;Some-college;Machine-op-inspct;>50K
42;White;Married-civ-spouse;Some-college;Craft-repair;>50K
57;White;Married-civ-spouse;Masters;Sales;>50K
41;White;Married-civ-spouse;Prof-school;Prof-specialty;>50K
48;White;Married-civ-spouse;Bachelors;Adm-clerical;>50K
31;White;Married-civ-spouse;HS-grad;Transport-moving;>50K
55;White;Married-civ-spouse;HS-grad;Sales;>50K
35;White;Married-civ-spouse;Assoc-acdm;Adm-clerical;>50K
41;White;Married-civ-spouse;Some-college;Farming-fishing;>50K
34;Asian-Pac-Islander;Married-civ-spouse;Masters;Exec-managerial;>50K
36;Black;Divorced;Bachelors;Prof-specialty;>50K
43;White;Married-civ-spouse;Some-college;Prof-specialty;>50K
38;White;Married-civ-spouse;Assoc-voc;Craft-repair;>50K
36;White;Married-civ-spouse;HS-grad;Protective-serv;>50K
33;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
33;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
38;White;Married-civ-spouse;HS-grad;Adm-clerical;>50K
40;White;Married-civ-spouse;Assoc-voc;Tech-support;>50K
62;White;Married-civ-spouse;Masters;Prof-specialty;>50K
43;White;Divorced;Bachelors;Exec-managerial;>50K
57;White;Divorced;Bachelors;Exec-managerial;>50K
40;White;Married-civ-spouse;Assoc-voc;Machine-op-inspct;>50K
44;White;Married-civ-spouse;Some-college;Adm-clerical;>50K
35;White;Married-civ-spouse;HS-grad;Other-service;>50K
25;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
52;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
50;White;Married-civ-spouse;Bachelors;Protective-serv;>50K
41;White;Married-civ-spouse;Masters;Exec-managerial;>50K
46;White;Married-civ-spouse;Doctorate;Exec-managerial;>50K
35;White;Divorced;12th;Craft-repair;>50K
32;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
63;White;Married-civ-spouse;HS-grad;Exec-managerial;>50K
30;White;Married-civ-spouse;Assoc-acdm;Other-service;>50K
33;White;Married-civ-spouse;Masters;Prof-specialty;>50K
44;White;Married-civ-spouse;Some-college;Prof-specialty;>50K
45;White;Married-civ-spouse;Some-college;Craft-repair;>50K
60;White;Married-civ-spouse;HS-grad;Craft-repair;>50K
44;White;Married-civ-spouse;HS-grad;Sales;>50K
40;Asian-Pac-Islander;Married-civ-spouse;Assoc-voc;Machine-op-inspct;>50K
49;White;Married-civ-spouse;Masters;Exec-managerial;>50K
30;White;Married-civ-spouse;Bachelors;Tech-support;>50K
60;White;Never-married;Some-college;Prof-specialty;>50K
38;White;Married-civ-spouse;Bachelors;Sales;>50K
34;White;Married-civ-spouse;Some-college;Prof-specialty;>50K
34;White;Married-civ-spouse;Bachelors;Prof-specialty;>50K
38;White;Married-civ-spouse;Bachelors;Exec-managerial;>50K
