age;race;marital-status;education;occupation;salary-class
39;White;Never-married;Bachelors;Adm-clerical;<=50K
50;White;Married-civ-spouse;Bachelors;Exec-managerial;<=50K
38;White;Divorced;HS-grad;Handlers-cleaners;<=50K
53;Black;Married-civ-spouse;11th;Handlers-cleaners;<=50K
28;Black;Married-civ-spouse;Bachelors;Prof-specialty;<=50K
37;White;Married-civ-spouse;Masters;Exec-managerial;<=50K
49;Black;Married-spouse-absent;9th;Other-service;<=50K
23;White;Never-married;Bachelors;Adm-clerical;<=50K
32;Black;Never-married;Assoc-acdm;Sales;<=50K
34;Amer-Indian-Eskimo;Married-civ-spouse;7th-8th;Transport-moving;<=50K
25;White;Never-married;HS-grad;Farming-fishing;<=50K
32;White;Never-married;HS-grad;Machine-op-inspct;<=50K
38;White;Married-civ-spouse;11th;Sales;<=50K
54;Black;Separated;HS-grad;Other-service;<=50K
35;Black;Married-civ-spouse;9th;Farming-fishing;<=50K
43;White;Married-civ-spouse;11th;Transport-moving;<=50K
59;White;Divorced;HS-grad;Tech-support;<=50K
19;White;Never-married;HS-grad;Craft-repair;<=50K
39;White;Divorced;HS-grad;Exec-managerial;<=50K
49;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
23;White;Never-married;Assoc-acdm;Protective-serv;<=50K
20;Black;Never-married;Some-college;Sales;<=50K
45;White;Divorced;Bachelors;Exec-managerial;<=50K
30;White;Married-civ-spouse;Some-college;Adm-clerical;<=50K
22;Black;Married-civ-spouse;Some-college;Other-service;<=50K
48;White;Never-married;11th;Machine-op-inspct;<=50K
21;White;Never-married;Some-college;Machine-op-inspct;<=50K
19;White;Married-AF-spouse;HS-grad;Adm-clerical;<=50K
48;White;Married-civ-spouse;Assoc-acdm;Prof-specialty;<=50K
31;White;Married-civ-spouse;9th;Machine-op-inspct;<=50K
53;White;Married-civ-spouse;Bachelors;Prof-specialty;<=50K
24;White;Married-civ-spouse;Bachelors;Tech-support;<=50K
49;White;Separated;HS-grad;Adm-clerical;<=50K
25;White;Never-married;HS-grad;Handlers-cleaners;<=50K
53;White;Married-civ-spouse;HS-grad;Machine-op-inspct;<=50K
44;White;Divorced;Masters;Exec-managerial;<=50K
41;White;Married-civ-spouse;Assoc-voc;Craft-repair;<=50K
29;White;Never-married;Assoc-voc;Prof-specialty;<=50K
25;Other;Married-civ-spouse;Some-college;Exec-managerial;<=50K
47;White;Divorced;HS-grad;Exec-managerial;<=50K
46;White;Married-civ-spouse;5th-6th;Machine-op-inspct;<=50K
35;White;Married-civ-spouse;Assoc-voc;Other-service;<=50K
41;White;Married-civ-spouse;HS-grad;Adm-clerical;<=50K
30;White;Married-civ-spouse;HS-grad;Machine-op-inspct;<=50K
30;White;Married-civ-spouse;Bachelors;Sales;<=50K
48;White;Married-civ-spouse;HS-grad;Transport-moving;<=50K
29;White;Divorced;Some-college;Tech-support;<=50K
36;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
28;White;Divorced;Some-college;Adm-clerical;<=50K
19;White;Never-married;Some-college;Prof-specialty;<=50K
31;Black;Separated;Bachelors;Sales;<=50K
23;White;Never-married;Some-college;Machine-op-inspct;<=50K
79;White;Married-civ-spouse;Some-college;Prof-specialty;<=50K
27;White;Never-married;HS-grad;Other-service;<=50K
40;White;Married-civ-spouse;Assoc-acdm;Adm-clerical;<=50K
18;White;Never-married;11th;Other-service;<=50K
31;White;Married-civ-spouse;7th-8th;Farming-fishing;<=50K
18;White;Never-married;HS-grad;Sales;<=50K
52;White;Married-civ-spouse;Bachelors;Other-service;<=50K
46;White;Married-civ-spouse;HS-grad;Other-service;<=50K
59;White;Married-civ-spouse;HS-grad;Sales;<=50K
53;White;Divorced;HS-grad;Sales;<=50K
33;White;Married-civ-spouse;Masters;Prof-specialty;<=50K
30;White;Never-married;9th;Sales;<=50K
57;White;Married-civ-spouse;Assoc-voc;Prof-specialty;<=50K
37;White;Divorced;Some-college;Craft-repair;<=50K
28;Black;Divorced;Some-college;Machine-op-inspct;<=50K
29;White;Never-married;Some-college;Handlers-cleaners;<=50K
48;White;Divorced;Assoc-acdm;Exec-managerial;<=50K
32;Black;Never-married;HS-grad;Other-service;<=50K
47;White;Never-married;Masters;Prof-specialty;<=50K
20;White;Never-married;Some-college;Tech-support;<=50K
29;White;Never-married;HS-grad;Craft-repair;<=50K
30;White;Never-married;11th;Handlers-cleaners;<=50K
31;White;Never-married;HS-grad;Adm-clerical;<=50K
42;White;Married-civ-spouse;HS-grad;Handlers-cleaners;<=50K
24;White;Never-married;Bachelors;Sales;<=50K
28;White;Married-civ-spouse;Some-college;Sales;<=50K
36;White;Never-married;HS-grad;Machine-op-inspct;<=50K
53;White;Married-civ-spouse;9th;Handlers-cleaners;<=50K
56;White;Married-civ-spouse;Some-college;Sales;<=50K
55;White;Married-civ-spouse;Some-college;Sales;<=50K
22;White;Never-married;HS-grad;Craft-repair;<=50K
21;White;Never-married;Some-college;Other-service;<=50K
40;White;Married-civ-spouse;Bachelors;Exec-managerial;<=50K
30;Black;Never-married;Bachelors;Exec-managerial;<=50K
19;Black;Never-married;Some-college;Other-service;<=50K
20;White;Never-married;Some-college;Adm-clerical;<=50K
39;White;Divorced;Some-college;Craft-repair;<=50K
28;White;Never-married;Assoc-acdm;Sales;<=50K
24;White;Never-married;HS-grad;Other-service;<=50K
38;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
37;White;Married-civ-spouse;Bachelors;Sales;<=50K
46;Black;Divorced;Assoc-acdm;Tech-support;<=50K
43;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
27;White;Married-civ-spouse;Assoc-voc;Adm-clerical;<=50K
20;White;Never-married;Some-college;Sales;<=50K
61;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
27;White;Never-married;Some-college;Sales;<=50K
19;White;Never-married;Some-college;Other-service;<=50K
70;White;Never-married;Some-college;Tech-support;<=50K
31;Black;Never-married;HS-grad;Transport-moving;<=50K
22;White;Married-civ-spouse;Some-college;Other-service;<=50K
36;White;Widowed;HS-grad;Other-service;<=50K
64;White;Married-civ-spouse;11th;Craft-repair;<=50K
47;White;Divorced;Some-college;Adm-clerical;<=50K
34;White;Never-married;HS-grad;Adm-clerical;<=50K
33;Asian-Pac-Islander;Never-married;Bachelors;Exec-managerial;<=50K
21;White;Never-married;HS-grad;Craft-repair;<=50K
48;White;Married-civ-spouse;HS-grad;Craft-repair;<=50K
23;White;Never-married;Bachelors;Handlers-cleaners;<=50K
71;Black;Separated;Some-college;Sales;<=50K
29;White;Divorced;HS-grad;Craft-repair;<=50K
42;Black;Separated;Bachelors;Other-service;<=50K
25;White;Never-married;HS-grad;Other-service;<=50K
44;Asian-Pac-Islander;Divorced;Masters;Exec-managerial;<=50K
28;Asian-Pac-Islander;Never-married;HS-grad;Exec-managerial;<=50K
36;White;Divorced;Some-college;Other-service;<=50K
39;White;Never-married;Assoc-acdm;Exec-managerial;<=50K
46;White;Widowed;Masters;Protective-serv;<=50K
18;White;Never-married;11th;Handlers-cleaners;<=50K
66;White;Widowed;Assoc-voc;Prof-specialty;<=50K
27;White;Never-married;HS-grad;Other-service;<=50K
28;White;Married-civ-spouse;HS-grad;Protective-serv;<=50K
27;White;Never-married;Bachelors;Craft-repair;<=50K
27;White;Married-spouse-absent;HS-grad;Sales;<=50K
21;Black;Never-married;HS-grad;Craft-repair;<=50K
34;Black;Never-married;HS-grad;Handlers-cleaners;<=50K
18;White;Never-married;HS-grad;Other-service;<=50K
33;White;Married-civ-spouse;Bachelors;Prof-specialty;<=50K
43;White;Divorced;Some-college;Adm-clerical;<=50K
30;Black;Never-married;Some-college;Craft-repair;<=50K
34;Black;Married-civ-spouse;HS-grad;Adm-clerical;<=50K
41;White;Divorced;Bachelors;Exec-managerial;<=50K
31;White;Married-civ-spouse;Masters;Prof-specialty;<=50K
38;Black;Divorced;Some-college;Machine-op-inspct;<=50K
24;White;Married-civ-spouse;Some-college;Machine-op-inspct;<=50K
41;Black;Married-civ-spouse;Bachelors;Craft-repair;<=50K
47;White;Married-civ-spouse;Some-college;Tech-support;<=50K
41;White;Married-civ-spouse;Bachelors;Tech-support;<=50K
23;White;Married-civ-spouse;5th-6th;Transport-moving;<=50K
36;White;Divorced;Some-college;Craft-repair;<=50K
24;White;Never-married;HS-grad;Sales;<=50K
26;White;Never-married;Masters;Prof-specialty;<=50K
42;White;Never-married;Some-college;Prof-specialty;<=50K
37;White;Divorced;HS-grad;Adm-clerical;<=50K
18;White;Never-married;11th;Sales;<=50K
35;White;Divorced;HS-grad;Craft-repair;<=50K
17;White;Never-married;11th;Sales;<=50K
44;Black;Married-civ-spouse;HS-grad;Transport-moving;<=50K
35;Amer-Indian-Eskimo;Never-married;Some-college;Sales;<=50K
